老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑,钦拌
20201005,0,3,17,9,8,12,14,6,4,73
20201006,5,8,26,8,2,11,9,4,2,75
20201007,1,2,8,13,10,28,31,16,5,114
20201008,6,5,6,7,9,12,11,10,3,69
20201009,1,11,8,7,6,5,10,4,2,54
20201010,1,3,11,7,6,11,22,7,4,72
20201011,4,0,11,14,8,6,6,6,3,58
20201012,8,2,19,19,16,12,12,8,2,98
20201013,5,7,18,15,17,10,11,7,1,91
20201014,4,7,30,11,11,9,8,2,2,84
20201015,5,3,16,11,11,8,14,11,31,110
20201016,0,2,7,9,10,8,7,2,2,47
20201017,2,2,6,15,5,20,17,2,4,73
20201018,2,4,12,14,14,21,15,8,1,91
20201019,2,3,13,7,15,13,7,7,9,76
20201020,3,3,11,7,12,9,9,3,1,58
20201021,1,4,12,10,18,15,14,5,10,89
20201022,2,2,18,12,18,24,26,11,8,121
20201023,2,11,10,18,21,26,26,13,28,155
20201024,7,7,12,4,9,14,14,5,5,77
20201025,5,7,10,8,11,9,6,1,4,61
20201026,6,5,21,25,22,22,11,3,4,119
20201027,2,7,12,9,14,23,13,4,4,88
20201028,4,6,20,15,17,20,9,7,5,103
20201029,11,8,13,23,14,18,24,10,4,125
20201030,8,9,16,16,19,16,19,6,4,113
20201031,7,5,21,22,18,26,8,10,10,127
20201101,5,14,24,19,25,13,15,6,3,124
20201102,7,9,9,13,19,10,18,8,4,97
20201103,3,5,17,13,6,14,12,4,1,75
20201104,2,3,18,25,11,20,23,10,5,117
20201105,1,8,21,20,23,29,15,6,2,125
20201106,9,7,24,24,26,28,13,9,5,145
20201107,1,5,10,15,21,9,13,11,4,89
20201108,3,4,9,26,22,22,24,24,9,143
20201109,3,6,15,25,19,19,15,15,9,126
20201110,3,9,21,13,11,14,15,9,5,100
20201111,6,5,20,18,12,20,30,19,15,145
20201112,6,13,26,23,22,25,15,9,4,143
20201113,7,9,28,19,24,41,28,17,18,191
20201114,12,14,36,32,29,36,32,7,7,205
20201115,8,13,26,27,27,49,40,13,5,208
20201116,5,12,37,27,29,40,53,15,4,222
20201117,11,12,37,26,36,44,38,18,8,230
20201118,4,16,44,38,51,51,40,20,21,285
20201119,23,43,46,36,52,53,44,17,11,325
20201120,11,35,63,48,53,55,43,28,12,348
20201121,15,36,108,49,56,56,37,23,6,386
20201122,17,20,65,47,64,56,32,18,11,330
20201123,23,21,41,41,49,50,20,17,9,271
20201124,16,17,66,53,60,62,43,25,7,349
20201125,11,31,52,61,75,72,46,24,10,382
20201126,21,57,125,81,93,95,72,28,9,581
20201127,21,40,81,80,96,116,68,27,26,555
20201128,13,38,74,77,95,78,82,30,16,503
20201129,18,36,93,66,69,83,46,26,13,450
20201130,16,54,60,54,58,87,59,24,26,438
20201201,15,47,81,67,63,94,43,27,14,451
20201202,19,43,85,89,79,98,57,23,18,511
20201203,31,41,104,68,93,95,75,27,6,540
20201204,25,46,101,80,89,119,93,43,32,628
20201205,23,52,98,65,77,92,89,50,31,577
20201206,22,30,72,90,73,123,111,68,42,631
20201207,14,31,84,75,73,139,100,59,40,615
20201208,20,35,72,71,81,111,89,55,53,587
20201209,24,39,67,95,96,121,124,72,32,670
20201210,37,53,80,111,92,110,114,53,30,680
20201211,35,44,83,82,102,123,102,63,55,689
20201212,52,86,97,113,143,174,148,69,68,950
20201213,36,74,110,109,150,192,183,105,71,1030
20201214,31,54,99,75,119,138,107,49,46,718
20201215,40,54,100,112,125,151,133,79,86,880
