NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
937,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
938,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
939,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
940,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
941,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
942,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
943,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,5.77, ,"1,472",,개인,법인,202412,2,,2005,-,직거래,-
944,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
945,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
946,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
947,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
948,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
949,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
950,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
951,서울특별시 노원구 상계동,집합,292-1,노해로,준주거,제1종근린생활,25m이상,3.9, ,981,,개인,법인,202412,2,,2005,-,직거래,-
